author,text,likes,published_at
@MiguelMonsanto-p2w,ok so wheres gaga?,0,2025-08-14T23:02:11Z
@joeblow-h6x,"This trailer makes part 2 look like more of part1, what a disappointment 😒",0,2025-08-14T23:01:57Z
@ttllelu503,Yay principal Weems is back🎉🎉🎉🎉,0,2025-08-14T23:00:41Z
@marlonzogriffin6983,Yes,0,2025-08-14T23:00:17Z
@Phyzics704,I wish they would&#39;ve left her out of the trailer and let it be a complete surprise that she&#39;s back.,0,2025-08-14T23:00:02Z
@afxapocalypse9479,I have a feeling that someone will die,0,2025-08-14T22:59:11Z
@GinaOktaviana-s7k,3rd September plesse come sooner,0,2025-08-14T22:59:05Z
@AlisterRobbie,Spoiler alert?,0,2025-08-14T22:58:56Z
@alihadadi81,Welcome back principal Williams I knew you would be back at least in a ghost form,0,2025-08-14T22:56:28Z
@lokishq,why so many spoilers in the trailer thoo,0,2025-08-14T22:52:28Z
@MrSmith691,Wednesday speaking about hell to Weems feel different after seeing Sandman,0,2025-08-14T22:48:15Z
@samehsalh8996,Where&#39;s lady Gaga,0,2025-08-14T22:45:47Z
@steffdia7080,Wednesday <br>Wed = Wedding <br>nes = next<br>day = day,0,2025-08-14T22:44:21Z
@Rhaivon,Lady Gaga as Rosaline Rotwood is crazy :D and she will come with a new song called Dead Dance :3,0,2025-08-14T22:43:57Z
@itachidattebayo,"Damn, that&#39;s what Lucifer been up to after leaving Hell to Morpheus",0,2025-08-14T22:42:48Z
@dharktv1340,Hmm After Part 1 I was disappointed but this trailer got me hype,0,2025-08-14T22:42:22Z
@kacpermarkiewicz3479,OMG. No fkg way! I need to have it now.,0,2025-08-14T22:42:13Z
@misimatokastanley,Dont tell me lady gaga is the grimm reaper,0,2025-08-14T22:42:05Z
@ferur123,The only thing im sad about it after i binge this one as i did the first 4 is the wait for season 3 :(,0,2025-08-14T22:37:30Z
@Helinn974,I’m sorry but I’m team Tyler,0,2025-08-14T22:35:43Z
@3veraj,"The fact we have to wait until September is DIABOLICAL, but so is this trailer.",0,2025-08-14T22:35:29Z
@lhuynh731,Miss Larissa is her new guide which it be interesting.,0,2025-08-14T22:33:48Z
@jennifermccabee,Part 2 ?! Whattt why didn’t I know about this,0,2025-08-14T22:33:37Z
@SadisticFurrySlayer112,YEEAAHHH,0,2025-08-14T22:33:14Z
@jujub4553,Bitch just release the whole entire season at once 🙄😒,0,2025-08-14T22:32:46Z
@Nyah-i5i,&quot;Ready for your sponge bath?&quot; Was cringe for no reason.,0,2025-08-14T22:32:39Z
@justkatieplays,Noo i need to know moreeee,0,2025-08-14T22:32:36Z
@Svoulzs,not the dexter version of &quot;&quot;harry&quot; 😭,0,2025-08-14T22:29:37Z
@nicholasbert4475,FINALLY LADY GAGA CRUMBS,0,2025-08-14T22:28:59Z
@cosmic_chaos-x,"GWENDOLYN CHRISTIE EVERYONE. So, SO happy they brought our diva back ❤",0,2025-08-14T22:26:50Z
@dominicastreet8510,IM SO EXCITED OMGGG,0,2025-08-14T22:26:43Z
@GregoRdz98,Can’t wait for this and Dead Dance mv !!,0,2025-08-14T22:26:11Z
@Andreas_Lombardi,"Season 3 better be in 2027 cause I had to rewatch Season 1 right after watching Part 1 of the 2nd season cause I forgot almost everything. Hell, I even forgot that she had psychic abilities!",0,2025-08-14T22:24:13Z
@cletusbeauregard1972,"oh, Gwendolyn  💖💖💖💖💖",0,2025-08-14T22:23:35Z
@emmy_rose46,SO EXCITED,0,2025-08-14T22:23:17Z
@julianap3412,Hopefully there won’t be a part 3 to wait for,0,2025-08-14T22:22:50Z
@imRivahSP,They had to seriously spoil Weems bruh,0,2025-08-14T22:21:29Z
@RznGhzli,CANT. WAIT.,0,2025-08-14T22:20:43Z
@gtmobadboy7993,"i’m calling it now, the music teacher IS A 2ND AVIAR. WHEN WEDNESDAY WAS CHASING THE BLACK COAT AVIAR AND STUMBLED INTO THE MUSIC ROOM SHE EXITED AND IT LINGERED ON A PARROT IN HER ROOM, THEY DON’T SHOW THAT STUFF FOR NO REASON.",2,2025-08-14T22:20:35Z
@huguiiiiitoo,Where tf Is lady gaga,0,2025-08-14T22:20:13Z
@JaimeWulf,"I rarely watch more than 2 episodes of any show in a row... I&#39;m not a natural born binger, but I made an exception for Wednesday Pt1... I&#39;m sure I will for Pt2 as well...",2,2025-08-14T22:20:05Z
@brsk61,Hell yeah,0,2025-08-14T22:19:40Z
@Demigod2NE3,Where&#39;s GAGA?!?!?,0,2025-08-14T22:17:52Z
@vanessalgenaway,Not releasing this on a Wednesday as usual is diabolical.,0,2025-08-14T22:15:25Z
@haydengrooms,it’s giving kevin garvey and patti levin iykyk,0,2025-08-14T22:13:34Z
@IdkEqual,"NETFLIX!?!!? MAKING US WAIT IN PARTS FOR SHOWS IS THE DUMBEST THING, NO ONE IS WATCHING STRANGER THINGS ON CHRISTMAS AND NEW YEARS, DROP THEM ALL AT THE SAME TIME, WATCH RATES CANT BE THAT BAD🌭",1,2025-08-14T22:12:51Z
@alirezagamer1930,I really want Tyler to get to Wednesday and their romance to be rekindled. I hope that happens❤❤. Who agrees with me??,0,2025-08-14T22:11:07Z
@anabxtrice,STOP. SPLITING. SERIES. INTO. 2. PARTS. WE WAIT A LONG TIME FOR IT ALREADY 😭,0,2025-08-14T22:10:37Z
@DanielMaldonadoRodríguez-20007,💜💜 Jenna Ortega Merlina 2 💜,0,2025-08-14T22:08:49Z
@arganlumens7117,How weem Isn&#39;t a Part of the addams or frumps bloodlines,0,2025-08-14T22:07:58Z
