track_name,artist_name,ms_played,minutes_played
Born To Die,Lana Del Rey,285386,4.76
Off To The Races,Lana Del Rey,134022,2.23
The Youth,MGMT,228021,3.80
Electric Feel,MGMT,229589,3.83
Take a Walk,Passion Pit,217935,3.63
Gravity - Radio Edit,John Mayer,238837,3.98
Say,John Mayer,230216,3.84
I'm Gonna Find Another You - Acoustic,John Mayer,165694,2.76
Daughters,John Mayer,237896,3.96
Paper Doll,John Mayer,257591,4.29
Heartbreak Warfare,John Mayer,269661,4.49
Half of My Heart,John Mayer,250368,4.17
Shadow Days,John Mayer,228126,3.80
Queen of California,John Mayer,250069,4.17
Your Body Is a Wonderland,John Mayer,249651,4.16
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,345625,5.76
Young And Beautiful,Lana Del Rey,236042,3.93
Young And Beautiful,Lana Del Rey,236042,3.93
Young And Beautiful,Lana Del Rey,192559,3.21
See The World,The Kooks,158275,2.64
Sofa Song,The Kooks,133197,2.22
Ooh La,The Kooks,208901,3.48
She Moves In Her Own Way,The Kooks,169246,2.82
Matchbox,The Kooks,189578,3.16
I Want You,The Kooks,196552,3.28
Paper Doll,John Mayer,257591,4.29
America,Imagine Dragons,191430,3.19
1983,Neon Trees,222536,3.71
Millionaires,The Script,143150,2.39
Vertigo,U2,194533,3.24
I Still Haven't Found What I'm Looking For,U2,277341,4.62
Beautiful Day,U2,198388,3.31
Intro,The xx,127921,2.13
Angels,The xx,171598,2.86
Next To Me,Emeli Sandé,196702,3.28
Mirrors,Justin Timberlake,436965,7.28
Paper Doll,John Mayer,257591,4.29
Impossible,James Arthur,209423,3.49
Do I Wanna Know?,Arctic Monkeys,154347,2.57
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,345626,5.76
Moth's Wings,Passion Pit,147536,2.46
Let Me Hold You,Josh Krajcik,245346,4.09
Mirrors,Justin Timberlake,360354,6.01
Paper Doll,John Mayer,257626,4.29
The Wind Cries Mary - Live at The X-Lounge,John Mayer,216093,3.60
Edge of Desire,John Mayer,332066,5.53
"Who Did You Think I Was - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,263373,4.39
"No Such Thing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,286266,4.77
"Clarity - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",John Mayer,548893,9.15
Mirrors,Justin Timberlake,205051,3.42
Paper Doll,John Mayer,255388,4.26
Beautiful Day,U2,238122,3.97
Young And Beautiful,Lana Del Rey,236053,3.93
Summertime Sadness,Lana Del Rey,265427,4.42
Born To Die,Lana Del Rey,285400,4.76
Video Games,Lana Del Rey,281960,4.70
Blue Jeans,Lana Del Rey,154028,2.57
Submarines,The Lumineers,161253,2.69
Every Night,Imagine Dragons,217293,3.62
Need Your Love,The Temper Trap,218653,3.64
Rivers and Roads,The Head And The Heart,284000,4.73
On My Way,Passion Pit,227066,3.78
All I Need,AWOLNATION,217693,3.63
"Dog Days Are Over - MTV Unplugged, 2012 / Live",Florence + The Machine,275320,4.59
Slow And Steady,Of Monsters and Men,301613,5.03
Hideaway,Passion Pit,231173,3.85
Mayla,Edward Sharpe & The Magnetic Zeros,342466,5.71
"It's Not My Fault, I'm Happy",Passion Pit,305680,5.09
Giving Me A Chance,Gotye,187400,3.12
Shake It Out - Acoustic,Florence + The Machine,252506,4.21
Down in the Valley,The Head And The Heart,303653,5.06
Black Flies,Ben Howard,305565,5.09
Barton Hollow,The Civil Wars,205773,3.43
Man On Fire,Edward Sharpe & The Magnetic Zeros,259080,4.32
What The Water Gave Me,Florence + The Machine,333400,5.56
Round And Round,Imagine Dragons,196933,3.28
Where We Belong,Passion Pit,300053,5.00
I Don't Wanna Pray,Edward Sharpe & The Magnetic Zeros,206786,3.45
The Fear,Ben Howard,260342,4.34
The Brightest Lights,King Charles,216013,3.60
In Your Light,Gotye,279013,4.65
Up All Night,Alex Clare,162333,2.71
The Hardest Part,Coldplay,265087,4.42
Wonderful World,James Morrison,210066,3.50
Secret,Maroon 5,132408,2.21
Born To Die,Lana Del Rey,133517,2.23
Wheels,Foo Fighters,277693,4.63
Notion,Kings of Leon,180840,3.01
Flesh And Bone,The Killers,239333,3.99
Just A Girl,No Doubt,205946,3.43
Shine On,The Kooks,194240,3.24
Here It Goes Again,OK Go,179813,3.00
DARE,Gorillaz,246133,4.10
Under The Gun,The Killers,153533,2.56
Last Nite,The Strokes,193506,3.23
Henrietta,The Fratellis,212493,3.54
Shut Your Eyes,Snow Patrol,197120,3.29
Hurricane,Thirty Seconds To Mars,372133,6.20
Violet Hill,Coldplay,229653,3.83
Ooh La,The Kooks,208973,3.48
California - Tchad Blake Mix,Phantom Planet,193986,3.23
Such Great Heights,The Postal Service,266346,4.44
The Way It Was,The Killers,231160,3.85
Dreaming of You,The Coral,141200,2.35
Everybody's Changing,Keane,216733,3.61
Fans,Kings of Leon,216400,3.61
Oxford Comma,Vampire Weekend,195733,3.26
Last Nite,The Strokes,193506,3.23
Bitter Sweet Symphony,The Verve,359546,5.99
You Get What You Give,New Radicals,300773,5.01
Times Like These,Foo Fighters,267973,4.47
"Tonight, Tonight",The Smashing Pumpkins,255786,4.26
Smile,Lily Allen,165017,2.75
Little Wing,Stevie Ray Vaughan,409333,6.82
Walking By Myself - Remastered,Freddie King,171133,2.85
Wang Dang Sweet Poontang,Ted Nugent,196440,3.27
When The Sun Goes Down,Arctic Monkeys,202133,3.37
Parklife,Blur,187400,3.12
Sleeping Lessons,The Shins,238026,3.97
